times   concentrations
0.00    1.00000
0.05    0.95238
0.10    0.90909
0.15    0.86957
0.20    0.83333
0.25    0.80000
0.30    0.76923
0.35    0.74074
0.40    0.71429
0.45    0.68966
0.50    0.66667
0.55    0.64516
0.60    0.62500
0.65    0.60606
0.70    0.58824
0.75    0.57143
0.80    0.55556
0.85    0.54054
0.90    0.52632
0.95    0.51282
1.00    0.50000
1.05    0.48780
1.10    0.47619
1.15    0.46512
1.20    0.45455
1.25    0.44444
1.30    0.43478
1.35    0.42553
1.40    0.41667
1.45    0.40816
1.50    0.40000
1.55    0.39216
1.60    0.38462
1.65    0.37736
1.70    0.37037
1.75    0.36364
1.80    0.35714
1.85    0.35088
1.90    0.34483
1.95    0.33898
2.00    0.33333
2.05    0.32787
2.10    0.32258
2.15    0.31746
2.20    0.31250
2.25    0.30769
2.30    0.30303
2.35    0.29851
2.40    0.29412
2.45    0.28986
2.50    0.28571
2.55    0.28169
2.60    0.27778
2.65    0.27397
2.70    0.27027
2.75    0.26667
2.80    0.26316
2.85    0.25974
2.90    0.25641
2.95    0.25316
3.00    0.25000
3.05    0.24691
3.10    0.24390
3.15    0.24096
3.20    0.23810
3.25    0.23529
3.30    0.23256
3.35    0.22989
3.40    0.22727
3.45    0.22472
3.50    0.22222
3.55    0.21978
3.60    0.21739
3.65    0.21505
3.70    0.21277
3.75    0.21053
3.80    0.20833
3.85    0.20619
3.90    0.20408
3.95    0.20202
4.00    0.20000
4.05    0.19802
4.10    0.19608
4.15    0.19417
4.20    0.19231
4.25    0.19048
4.30    0.18868
4.35    0.18692
4.40    0.18519
4.45    0.18349
4.50    0.18182
4.55    0.18018
4.60    0.17857
4.65    0.17699
4.70    0.17544
4.75    0.17391
4.80    0.17241
4.85    0.17094
4.90    0.16949
4.95    0.16807
5.00    0.16667
5.05    0.16529
5.10    0.16393
5.15    0.16260
